LAST SEEN   TYPE      REASON                  OBJECT                                        MESSAGE
59m         Normal    Scheduled               pod/commander-agent-5d5d99d659-44h7s          Successfully assigned kagent/commander-agent-5d5d99d659-44h7s to 10.0.10.201
59m         Normal    Scheduled               pod/commander-agent-787889d666-58xnh          Successfully assigned kagent/commander-agent-787889d666-58xnh to 10.0.10.201
53m         Normal    Scheduled               pod/slack-bot-5c5bff4bc5-d24n4                Successfully assigned kagent/slack-bot-5c5bff4bc5-d24n4 to 10.0.10.201
26m         Normal    Scheduled               pod/slack-bot-5c5bff4bc5-vn4lh                Successfully assigned kagent/slack-bot-5c5bff4bc5-vn4lh to 10.0.10.201
24m         Normal    Scheduled               pod/slack-bot-d4fcfc4c9-wmg2f                 Successfully assigned kagent/slack-bot-d4fcfc4c9-wmg2f to 10.0.10.201
21m         Normal    Scheduled               pod/slack-bot-d4fcfc4c9-l68c6                 Successfully assigned kagent/slack-bot-d4fcfc4c9-l68c6 to 10.0.10.201
23m         Normal    Scheduled               pod/slack-bot-d4fcfc4c9-jqmgs                 Successfully assigned kagent/slack-bot-d4fcfc4c9-jqmgs to 10.0.10.201
48m         Normal    Scheduled               pod/slack-bot-5c5bff4bc5-7p5xc                Successfully assigned kagent/slack-bot-5c5bff4bc5-7p5xc to 10.0.10.201
56m         Normal    Scheduled               pod/slack-bot-5c5bff4bc5-67p9t                Successfully assigned kagent/slack-bot-5c5bff4bc5-67p9t to 10.0.10.201
58m         Normal    Scheduled               pod/slack-bot-b47656fd9-cxqmk                 Successfully assigned kagent/slack-bot-b47656fd9-cxqmk to 10.0.10.201
59m         Normal    Scheduled               pod/commander-agent-787889d666-bxvkf          Successfully assigned kagent/commander-agent-787889d666-bxvkf to 10.0.10.201
58m         Normal    Scheduled               pod/commander-agent-5d5d99d659-l7vdd          Successfully assigned kagent/commander-agent-5d5d99d659-l7vdd to 10.0.10.201
55m         Normal    Scheduled               pod/slack-bot-5c5bff4bc5-8kk8t                Successfully assigned kagent/slack-bot-5c5bff4bc5-8kk8t to 10.0.10.201
59m         Normal    Pulled                  pod/commander-agent-787889d666-bxvkf          Container image "cr.kagent.dev/kagent-dev/kagent/app:0.7.23" already present on machine
59m         Normal    SuccessfulCreate        replicaset/commander-agent-787889d666         Created pod: commander-agent-787889d666-bxvkf
59m         Normal    Created                 pod/commander-agent-787889d666-bxvkf          Created container: kagent
59m         Normal    Started                 pod/commander-agent-787889d666-bxvkf          Started container kagent
59m         Normal    ScalingReplicaSet       deployment/commander-agent                    Scaled down replica set commander-agent-787889d666 from 1 to 0
59m         Normal    Pulled                  pod/commander-agent-787889d666-58xnh          Container image "cr.kagent.dev/kagent-dev/kagent/app:0.7.23" already present on machine
59m         Normal    Started                 pod/commander-agent-787889d666-58xnh          Started container kagent
59m         Normal    ScalingReplicaSet       deployment/commander-agent                    Scaled up replica set commander-agent-787889d666 from 0 to 1
59m         Normal    SuccessfulDelete        replicaset/commander-agent-5d5d99d659         Deleted pod: commander-agent-5d5d99d659-44h7s
59m         Normal    SuccessfulCreate        replicaset/commander-agent-5d5d99d659         Created pod: commander-agent-5d5d99d659-44h7s
59m         Normal    SuccessfulCreate        replicaset/commander-agent-787889d666         Created pod: commander-agent-787889d666-58xnh
59m         Normal    SuccessfulDelete        replicaset/commander-agent-787889d666         Deleted pod: commander-agent-787889d666-bxvkf
59m         Normal    Created                 pod/commander-agent-787889d666-58xnh          Created container: kagent
59m         Normal    Killing                 pod/commander-agent-787889d666-bxvkf          Stopping container kagent
58m         Normal    ScalingReplicaSet       deployment/commander-agent                    Scaled down replica set commander-agent-6bc56758c6 from 1 to 0
58m         Normal    Killing                 pod/commander-agent-6bc56758c6-g8m6k          Stopping container kagent
58m         Normal    SuccessfulDelete        replicaset/commander-agent-6bc56758c6         Deleted pod: commander-agent-6bc56758c6-g8m6k
