NAME                                             READY   STATUS      RESTARTS        AGE     IP             NODE          NOMINATED NODE   READINESS GATES
adversarial-sweep-29580660-lnlsk                 0/1     Completed   0               11h     10.244.0.84    10.0.10.201   <none>           <none>
adversarial-tester-56758c949-b769p               1/1     Running     0               2d12h   10.244.0.27    10.0.10.201   <none>           <none>
agent-policy-server-6b9c746f9d-msm6f             1/1     Running     0               165m    10.244.0.105   10.0.10.201   <none>           <none>
approval-server-57854886b9-lw8kq                 1/1     Running     0               3d13h   10.244.0.34    10.0.10.201   <none>           <none>
audit-logger-ff8d9dd9f-bkgpv                     1/1     Running     0               3d12h   10.244.0.61    10.0.10.201   <none>           <none>
ceo-agent-5c8bf6f9cc-lxv6m                       1/1     Running     0               3d13h   10.244.0.49    10.0.10.201   <none>           <none>
cfo-agent-8c6dd484c-htmzl                        1/1     Running     0               2d3h    10.244.0.76    10.0.10.201   <none>           <none>
codegen-agent-7cb85db5fc-dzrmq                   1/1     Running     0               156m    10.244.0.107   10.0.10.201   <none>           <none>
codegen-mcp-666cf99c96-vsq4d                     1/1     Running     0               165m    10.244.0.103   10.0.10.201   <none>           <none>
commander-agent-657f5cdc9c-rw6wn                 1/1     Running     0               2d19h   10.244.0.108   10.0.10.201   <none>           <none>
commander-tools-watcher-775b9c9597-jrxxc         1/1     Running     119 (23m ago)   3d13h   10.244.0.38    10.0.10.201   <none>           <none>
coo-agent-75d658bc84-rjl6m                       1/1     Running     0               3d13h   10.244.0.52    10.0.10.201   <none>           <none>
cors-proxy-5cc589bdc6-rjm99                      1/1     Running     0               3d13h   10.244.0.41    10.0.10.201   <none>           <none>
cso-agent-6b744d6849-llpjh                       1/1     Running     0               3d13h   10.244.0.53    10.0.10.201   <none>           <none>
eval-harness-55fc84b68d-7j2t7                    1/1     Running     0               2d12h   10.244.0.24    10.0.10.201   <none>           <none>
github-mcp-cf7894669-jmch8                       1/1     Running     0               2d19h   10.244.0.104   10.0.10.201   <none>           <none>
gmail-mcp-757ff6fc79-tzgcq                       1/1     Running     0               3d13h   10.244.0.36    10.0.10.201   <none>           <none>
hardening-agent-85698ddf54-lsx9j                 1/1     Running     0               3d1h    10.244.0.79    10.0.10.201   <none>           <none>
hitl-tool-server-69cb7479c9-klkpp                1/1     Running     0               2d11h   10.244.0.51    10.0.10.201   <none>           <none>
kagent-controller-7f7868b65c-xgqcd               1/1     Running     0               11d     10.244.0.8     10.0.10.201   <none>           <none>
kagent-kmcp-controller-manager-8f8b89d47-9kzkr   1/1     Running     0               3d13h   10.244.0.45    10.0.10.201   <none>           <none>
kagent-querydoc-55fbc88874-t27s6                 1/1     Running     0               3d13h   10.244.0.46    10.0.10.201   <none>           <none>
kagent-tools-7797b8b694-zz2k4                    1/1     Running     0               3d13h   10.244.0.47    10.0.10.201   <none>           <none>
kagent-ui-87c7cd66b-sc958                        1/1     Running     0               11d     10.244.0.9     10.0.10.201   <none>           <none>
khook-58458cc7bd-nfn9f                           1/1     Running     0               3d13h   10.244.0.44    10.0.10.201   <none>           <none>
kubectl-proxy-5789685978-fll2r                   1/1     Running     0               3d13h   10.244.0.39    10.0.10.201   <none>           <none>
litellm-585bc75cf5-bbgd8                         1/1     Running     0               3d13h   10.244.0.48    10.0.10.201   <none>           <none>
north-star-agent-688b7f8ddb-fth94                1/1     Running     0               2d12h   10.244.0.35    10.0.10.201   <none>           <none>
north-star-assessment-29578320-xrjrs             0/1     Error       0               2d2h    10.244.0.78    10.0.10.201   <none>           <none>
north-star-assessment-29580480-x8blq             0/1     Completed   0               14h     10.244.0.69    10.0.10.201   <none>           <none>
north-star-assessment-29580840-d6rlr             0/1     Completed   0               8h      10.244.0.90    10.0.10.201   <none>           <none>
north-star-assessment-29581200-cdgtw             0/1     Completed   0               127m    10.244.0.109   10.0.10.201   <none>           <none>
outreach-agent-85658d494c-sf9sw                  1/1     Running     0               2d3h    10.244.0.74    10.0.10.201   <none>           <none>
playbook-server-79745b44f6-grfnj                 1/1     Running     0               2d12h   10.244.0.25    10.0.10.201   <none>           <none>
pm-agent-68746fc4d6-ch2k8                        1/1     Running     0               2d12h   10.244.0.30    10.0.10.201   <none>           <none>
prospecting-agent-f6b8f5d8c-842ld                1/1     Running     0               2d15h   10.244.0.13    10.0.10.201   <none>           <none>
rd-agent-7dfd6d58bd-lcbbj                        1/1     Running     0               2d12h   10.244.0.33    10.0.10.201   <none>           <none>
rd-evolution-cycle-29581200-btg2s                0/1     Completed   0               127m    10.244.0.110   10.0.10.201   <none>           <none>
rd-evolution-cycle-29581260-rmb2z                0/1     Completed   0               67m     10.244.0.114   10.0.10.201   <none>           <none>
rd-evolution-cycle-29581320-vkk8f                0/1     Completed   0               7m21s   10.244.0.116   10.0.10.201   <none>           <none>
resource-governor-7b9848465c-zp5vf               1/1     Running     0               3d13h   10.244.0.31    10.0.10.201   <none>           <none>
rules-engine-7cf8bc4bb8-8zvbv                    1/1     Running     0               2d12h   10.244.0.23    10.0.10.201   <none>           <none>
scheduler-cfo-check-29581080-w7csq               0/1     Completed   0               4h7m    10.244.0.101   10.0.10.201   <none>           <none>
scheduler-cfo-check-29581200-ddx9h               0/1     Completed   0               127m    10.244.0.112   10.0.10.201   <none>           <none>
scheduler-cfo-check-29581320-xdhbz               0/1     Completed   0               7m21s   10.244.0.115   10.0.10.201   <none>           <none>
scheduler-coo-status-29580720-mc5t4              0/1     Completed   0               10h     10.244.0.85    10.0.10.201   <none>           <none>
scheduler-coo-status-29580960-wwhbj              0/1     Completed   0               6h7m    10.244.0.95    10.0.10.201   <none>           <none>
scheduler-coo-status-29581200-ghm4z              0/1     Completed   0               127m    10.244.0.113   10.0.10.201   <none>           <none>
scheduler-cso-audit-29580480-wbkvs               0/1     Completed   0               14h     10.244.0.72    10.0.10.201   <none>           <none>
scheduler-cso-audit-29580840-22vks               0/1     Completed   0               8h      10.244.0.93    10.0.10.201   <none>           <none>
scheduler-cso-audit-29581200-dmz2c               0/1     Completed   0               127m    10.244.0.111   10.0.10.201   <none>           <none>
scheduler-pm-pipeline-29580000-9l2qk             0/1     Completed   0               22h     10.244.0.40    10.0.10.201   <none>           <none>
scheduler-pm-pipeline-29580480-7jh4j             0/1     Completed   0               14h     10.244.0.78    10.0.10.201   <none>           <none>
scheduler-pm-pipeline-29580480-lwtrt             0/1     Error       0               14h     10.244.0.73    10.0.10.201   <none>           <none>
scheduler-pm-pipeline-29580960-k8jsl             0/1     Completed   0               6h7m    10.244.0.96    10.0.10.201   <none>           <none>
search-mcp-848f668958-w977m                      1/1     Running     0               3d11h   10.244.0.68    10.0.10.201   <none>           <none>
searxng-5849867d-k4qmp                           1/1     Running     0               3d13h   10.244.0.42    10.0.10.201   <none>           <none>
shared-state-c6fb88499-zl682                     1/1     Running     0               2d12h   10.244.0.26    10.0.10.201   <none>           <none>
site-builder-agent-ccd868cb9-fcbhh               1/1     Running     0               2d16h   10.244.0.125   10.0.10.201   <none>           <none>
slack-bot-7568ccb474-ttc7w                       1/1     Running     0               3d13h   10.244.0.32    10.0.10.201   <none>           <none>
